1787-02-01,1787-03-19
1787-02-02,1787-03-20
1787-02-03,1787-03-21
1787-02-04,1787-03-22
1787-02-05,1787-03-23
1787-02-06,1787-03-24
1787-02-07,1787-03-25
1787-02-08,1787-03-26
1787-02-09,1787-03-27
1787-02-10,1787-03-28
1787-02-11,1787-03-29
1787-02-12,1787-03-30
1787-02-13,1787-03-31
1787-02-14,1787-04-01
1787-02-15,1787-04-02
1787-02-16,1787-04-03
1787-02-17,1787-04-04
1787-02-18,1787-04-05
1787-02-19,1787-04-06
1787-02-20,1787-04-07
1787-02-21,1787-04-08
1787-02-22,1787-04-09
1787-02-23,1787-04-10
1787-02-24,1787-04-11
1787-02-25,1787-04-12
1787-02-26,1787-04-13
1787-02-27,1787-04-14
1787-02-28,1787-04-15
1787-02-29,1787-04-16
1787-02-30,1787-04-17
