1871-06-01,1871-07-18
1871-06-02,1871-07-19
1871-06-03,1871-07-20
1871-06-04,1871-07-21
1871-06-05,1871-07-22
1871-06-06,1871-07-23
1871-06-07,1871-07-24
1871-06-08,1871-07-25
1871-06-09,1871-07-26
1871-06-10,1871-07-27
1871-06-11,1871-07-28
1871-06-12,1871-07-29
1871-06-13,1871-07-30
1871-06-14,1871-07-31
1871-06-15,1871-08-01
1871-06-16,1871-08-02
1871-06-17,1871-08-03
1871-06-18,1871-08-04
1871-06-19,1871-08-05
1871-06-20,1871-08-06
1871-06-21,1871-08-07
1871-06-22,1871-08-08
1871-06-23,1871-08-09
1871-06-24,1871-08-10
1871-06-25,1871-08-11
1871-06-26,1871-08-12
1871-06-27,1871-08-13
1871-06-28,1871-08-14
1871-06-29,1871-08-15
