1687-05-01,1687-06-10
1687-05-02,1687-06-11
1687-05-03,1687-06-12
1687-05-04,1687-06-13
1687-05-05,1687-06-14
1687-05-06,1687-06-15
1687-05-07,1687-06-16
1687-05-08,1687-06-17
1687-05-09,1687-06-18
1687-05-10,1687-06-19
1687-05-11,1687-06-20
1687-05-12,1687-06-21
1687-05-13,1687-06-22
1687-05-14,1687-06-23
1687-05-15,1687-06-24
1687-05-16,1687-06-25
1687-05-17,1687-06-26
1687-05-18,1687-06-27
1687-05-19,1687-06-28
1687-05-20,1687-06-29
1687-05-21,1687-06-30
1687-05-22,1687-07-01
1687-05-23,1687-07-02
1687-05-24,1687-07-03
1687-05-25,1687-07-04
1687-05-26,1687-07-05
1687-05-27,1687-07-06
1687-05-28,1687-07-07
1687-05-29,1687-07-08
