1991-02-01,1990-12-17
1991-02-02,1990-12-18
1991-02-03,1990-12-19
1991-02-04,1990-12-20
1991-02-05,1990-12-21
1991-02-06,1990-12-22
1991-02-07,1990-12-23
1991-02-08,1990-12-24
1991-02-09,1990-12-25
1991-02-10,1990-12-26
1991-02-11,1990-12-27
1991-02-12,1990-12-28
1991-02-13,1990-12-29
1991-02-14,1990-12-30
1991-02-15,1991-01-01
1991-02-16,1991-01-02
1991-02-17,1991-01-03
1991-02-18,1991-01-04
1991-02-19,1991-01-05
1991-02-20,1991-01-06
1991-02-21,1991-01-07
1991-02-22,1991-01-08
1991-02-23,1991-01-09
1991-02-24,1991-01-10
1991-02-25,1991-01-11
1991-02-26,1991-01-12
1991-02-27,1991-01-13
1991-02-28,1991-01-14
