1996-07-01,1996-05-16
1996-07-02,1996-05-17
1996-07-03,1996-05-18
1996-07-04,1996-05-19
1996-07-05,1996-05-20
1996-07-06,1996-05-21
1996-07-07,1996-05-22
1996-07-08,1996-05-23
1996-07-09,1996-05-24
1996-07-10,1996-05-25
1996-07-11,1996-05-26
1996-07-12,1996-05-27
1996-07-13,1996-05-28
1996-07-14,1996-05-29
1996-07-15,1996-05-30
1996-07-16,1996-06-01
1996-07-17,1996-06-02
1996-07-18,1996-06-03
1996-07-19,1996-06-04
1996-07-20,1996-06-05
1996-07-21,1996-06-06
1996-07-22,1996-06-07
1996-07-23,1996-06-08
1996-07-24,1996-06-09
1996-07-25,1996-06-10
1996-07-26,1996-06-11
1996-07-27,1996-06-12
1996-07-28,1996-06-13
1996-07-29,1996-06-14
1996-07-30,1996-06-15
1996-07-31,1996-06-16
